[0.00s -> 2.30s]  three, two, four.
[8281.36s -> 8288.40s]  their surplus at the end of the year in Dr. Carver's memo, so that we can't count on that.
[8288.40s -> 8294.40s]  Well, they shouldn't count on that because it's an overage, it's a surplus.
[8294.40s -> 8295.76s]  It's like counting on a bonus.
[8296.48s -> 8303.28s]  Maybe you won't get enough to keep 1% that'll be even, you know, significant, but that's
[8303.28s -> 8304.88s]  the kind of thing we're looking at.
[8311.68s -> 8314.00s]  You ended abruptly, was that intentionally?
[8314.00s -> 8314.80s]  Oh, me?
[8314.80s -> 8315.76s]  Yeah.
[8315.76s -> 8316.64s]  Oh, I know.
[8316.64s -> 8321.60s]  I just sort of put the break down because I didn't want to talk at talk, so I said thank you.
[8322.16s -> 8324.48s]  So nothing to add to the list?
[8325.20s -> 8326.32s]  No, I don't right now.
[8327.28s -> 8332.64s]  All right, well, I said the board of ed needs to, it would be helpful if I will say this.
[8332.64s -> 8337.92s]  It would be so helpful if there were departments who would come forward and say,
[8337.92s -> 8339.84s]  we can save money here.
[8340.88s -> 8342.24s]  I've not heard that.
[8342.24s -> 8347.36s]  I really only heard asking for more with the exception of a few departments.
[8347.36s -> 8352.24s]  I mean, it's easy to make a case for maybe no extra dog park for small dogs or something.
[8352.24s -> 8353.28s]  That's easy.
[8353.28s -> 8354.80s]  It's going to be really hard.
[8355.68s -> 8358.00s]  And you know, who never, never feels this?
[8358.08s -> 8360.48s]  The unions, the unions.
[8360.48s -> 8361.20s]  I'm sorry.
[8362.00s -> 8363.52s]  No wiggle room there.
[8363.52s -> 8365.28s]  So, you know, like those on.
[8366.16s -> 8367.20s]  And I think that's a problem.
[8367.20s -> 8368.48s]  That's what I mean about organic.
[8368.48s -> 8372.32s]  Things have to change and not just sniping away money on this budget.
[8375.60s -> 8377.44s]  Do you have got you in the number two hole?
[8379.20s -> 8379.84s]  Thanks, Bob.
[8381.20s -> 8383.36s]  So here's my thoughts.
[8383.36s -> 8387.36s]  And when I started, I said, I think we need to look at cuts that don't dramatically
[8387.36s -> 8390.32s]  decrease our quality of life here in Bethel.
[8391.52s -> 8396.00s]  I think most of the things that you talked about are probably in that bucket.
[8396.64s -> 8401.68s]  I think people will see some degradation of our roads if we cut $200,000.
[8402.40s -> 8403.68s]  And we're going to have to accept that.
[8403.68s -> 8406.72s]  And we're going to have to own that if we're going to make that cut.
[8407.52s -> 8411.52s]  I think $300,000 out of the board of ed is just too much.
[8411.52s -> 8414.40s]  I think they're already struggling and I think it's too much.
[8415.36s -> 8420.64s]  Sorry, I'll be willing to vote for a decrease in the board of ed budget.
[8420.64s -> 8422.56s]  I don't know that $300 is the number for me.
[8426.32s -> 8427.44s]  Nick, I've got you up next.
[8428.48s -> 8430.48s]  All right, I made a list.
[8432.40s -> 8439.60s]  There was new hires in the board of ed and it was total of $378,000.
[8440.16s -> 8446.56s]  If you cut the $300,000, they still had $78,000 to hire that principal.
[8446.56s -> 8449.20s]  I'm sorry, the administrator in the school.
[8449.20s -> 8450.72s]  And I know they're getting another grade.
[8450.72s -> 8452.88s]  So I think there's some wiggle room there.
[8452.88s -> 8458.00s]  So I would support the $300,000 because $378 was all new hires.
[8458.56s -> 8465.68s]  I think the majority of this town would be happy if they got the same services as last year.
[8465.68s -> 8468.56s]  I understand debt services we have to pay for.
[8468.56s -> 8471.60s]  We have to pay for contractual obligations.
[8471.60s -> 8476.88s]  But in this world that we're living in, if I told my family we can go on the same
[8476.88s -> 8482.00s]  vacation as we went on last year, I think that's a big win for what everybody's living to right now.
[8482.64s -> 8488.24s]  But the 460 account I think has to take a hit for $50,000.
[8489.84s -> 8492.16s]  We may have to put off a gym.
[8492.88s -> 8496.56s]  We may have to put off something in that maintenance account.
[8497.20s -> 8502.32s]  In this times we live in, so I would support a $50,000 cut at a 460.
[8503.20s -> 8505.52s]  And 12 months goes by quick.
[8505.52s -> 8509.44s]  If everything is fine, I'd be willing to spend the money next year.
[8509.44s -> 8512.64s]  But right now, I would support a $50,000 cut there.
[8514.56s -> 8520.16s]  Again, hiring anybody new in this environment I think is wrong.
[8520.16s -> 8525.20s]  When there's people that are unemployed, there's people that are
[8525.28s -> 8526.96s]  got a reduction in their pay.
[8528.48s -> 8531.44s]  I have a hard time really supporting new hires.
[8532.08s -> 8534.64s]  I would not hire another new officer.
[8534.64s -> 8537.20s]  I would stay status quo.
[8537.20s -> 8541.04s]  I'd be happy that we kept everybody employed in this town.
[8541.04s -> 8544.48s]  And I would cut $54,000 out of a new officer.
[8544.48s -> 8546.16s]  I know that's not a big win.
[8547.36s -> 8553.68s]  A lot of people with, again, emergency services, I would let that one go.
[8553.68s -> 8558.80s]  But I definitely would say, hey, we need to do maybe cut another car
[8559.52s -> 8561.12s]  and do with what we have.
[8562.96s -> 8566.96s]  We've got plenty of money in the highway department to repair these cars.
[8566.96s -> 8569.52s]  But that's, I know that's not going to fly.
[8570.16s -> 8575.28s]  Road construction, I thought 100,000, but again, 200.
[8575.28s -> 8582.00s]  You guys have done a good job with that and for those repairs, replacement of roads, but I would
[8582.00s -> 8587.20s]  support the bigger number because, again, we're trying to go with a lower mill increase.
[8588.72s -> 8595.52s]  Building department, 180, 51,01, there's part time money in there, there's 35,000.
[8596.16s -> 8600.40s]  If we come out of this thing, I don't think there's going to be building.
[8600.40s -> 8601.52s]  I think that's going to lag.
[8602.24s -> 8606.08s]  We can always add that later on if things really pick up.
[8606.08s -> 8608.80s]  I'd be in favor of cutting the part time out of that.
[8609.44s -> 8616.48s]  I know, I've said it to Matt before, we do more with less and I get it.
[8616.48s -> 8619.68s]  The government doesn't work that way like private industry,
[8619.68s -> 8622.64s]  but I don't think the building permits are going to be there,
[8622.64s -> 8624.64s]  or they're not going to be there right away.
[8624.64s -> 8627.44s]  I'm in construction, everybody's pulling back.
[8627.44s -> 8630.32s]  You're going to get the roof repairs, you're going to get the windows,
[8630.32s -> 8633.36s]  but you're not going to get big, big projects.
[8633.36s -> 8636.64s]  So I would support cutting that 35,000.
[8637.28s -> 8640.40s]  And then I don't know much about this, but the capital not recurring.
[8641.04s -> 8642.48s]  I know there's a bunch of money in there.
[8643.04s -> 8646.32s]  Can we trim that 100 or 200,000?
[8646.32s -> 8649.52s]  Since everybody's taking a hit, maybe we don't buy a truck,
[8649.52s -> 8651.52s]  or maybe we don't buy computers.
[8651.52s -> 8655.28s]  You know, I know the first selectman comes to us and says what's needed,
[8655.28s -> 8660.40s]  but I think there should be a cut if the board of ed is going to take a hit.
[8660.40s -> 8665.52s]  I think buying new things, I would support a $200,000 cut there.
[8666.88s -> 8668.08s]  That's all the notes I have.
[8671.76s -> 8672.32s]  Robert.
[8674.96s -> 8675.60s]  Thanks, Bob.
[8677.92s -> 8683.36s]  This is very painful, and I think as evident to the people listening on this call,
[8684.80s -> 8688.48s]  there was a lot of discussion going on about these items.
[8689.12s -> 8697.52s]  The most painful, of course, I think is the schools,
[8698.16s -> 8701.04s]  second painful would be, of course, the roads.
[8701.04s -> 8706.00s]  The roads are something that will all feel as we keep repairing our
[8707.20s -> 8708.08s]  vehicle tires.
[8708.72s -> 8714.32s]  The schools, that hits very hard because I think our community work that we're
[8714.32s -> 8721.28s]  proud of is proud because what our school board has built up and made as an institution
[8721.28s -> 8723.60s]  that we all respected like.
[8724.16s -> 8731.84s]  But I don't see a clear path to getting down to a zero budget,
[8731.84s -> 8737.60s]  and I stand by my earlier statement that there's a lot of pain out there in terms of
[8738.40s -> 8745.04s]  not only people being laid off, we can see an unemployment in this area of the country
[8746.00s -> 8754.32s]  increasing from what it was, you know, three, four percent up to probably 15 percent easily.
[8754.80s -> 8760.16s]  And the real sort of, you know, that mark that into the marketplace is not going to be
[8760.80s -> 8768.56s]  particularly rapid. And even if it is, it's not going to necessarily be back at the same
[8768.56s -> 8778.00s]  salary levels as they once were. We've seen that before in terms of people being re-employed at
[8778.00s -> 8789.20s]  different jobs at perhaps a lower level. So I'm not looking for the zero rate. I'm looking for
[8789.92s -> 8798.00s]  this is a compromise, I feel, and it takes us down to a, I don't know, where their bob or
[8798.00s -> 8805.60s]  Brad is on the call to calculate where we would be with a cut of this nature in terms of what
[8805.60s -> 8810.48s]  that would mean at a mill rate. Brad's on the call, I don't believe.
[8810.48s -> 8812.32s]  I think he is. I think he's on.
[8813.52s -> 8818.16s]  Brad, can you give us an estimate based on the rates?
[8820.16s -> 8824.64s]  But Robert, just to make sure I'm probably being slow here, when you say
[8826.40s -> 8828.80s]  what the cuts, the cuts that you described?
[8828.80s -> 8830.40s]  One million dollars.
[8830.40s -> 8830.80s]  Correct.
[8832.40s -> 8838.56s]  So that's taking us down to, well, I can tell you the other day, I ran 9.50.
[8838.56s -> 8843.84s]  I didn't go to a man. I went 9.50 and it brings no rate down to 33.74.
[8843.84s -> 8854.24s]  0.33, that's under 1%, 0.98, and it equates to $71.16.
[8854.24s -> 8859.12s]  So another, you know, $50,000 is going to bring it down a little bit more.
[8860.80s -> 8861.12s]  Okay.
[8862.00s -> 8866.00s]  So Bob, again, I'm probably just being the slowest here,
[8866.72s -> 8871.92s]  making out a million dollars, brings the no rate down to 0.33.
[8871.92s -> 8873.36s]  No, that's 9.50, Bob.
[8874.08s -> 8879.28s]  I ran that the other day. I'm going to check to see if Brad is as much you don't have.
[8879.28s -> 8883.60s]  Yeah, give me just, I'm trying to, I'm trying to unmute Brad, give me just a second.
[8883.60s -> 8884.40s]  I got a finding.
[8885.76s -> 8893.12s]  The 9.50 gets a 0.33, a 0.98 percentage, and the $71.
[8896.64s -> 8905.60s]  And that is less than a 1% increase in the millery.
[8905.60s -> 8906.48s]  Is that correct, Bob?
[8907.44s -> 8909.36s]  The point 9.50.
[8909.36s -> 8910.56s]  Yes, 9.8.
[8911.76s -> 8912.88s]  Can you hear me now?
[8912.88s -> 8914.08s]  Yes.
[8914.08s -> 8919.36s]  All right. So were you looking at, there was a lot of numbers to run around when I was trying to unmute myself.
[8919.36s -> 8921.04s]  Are you looking at a million dollar cut?
[8921.76s -> 8923.44s]  Yeah, that would do to the miller.
[8923.44s -> 8929.44s]  So the million dollar cut would reduce the mill rate increase from 0.8 to 0.3.
[8933.04s -> 8936.72s]  And would make the mill rate increase percentage 0.91.
[8941.44s -> 8945.04s]  Brad, you have that third number, the average home cost?
[8946.00s -> 8951.76s]  The average home, the increase your over year would be $65.79.
[8956.32s -> 8958.56s]  I've heard any more questions for Brad.
[8958.56s -> 8960.40s]  What's the, what's the average cost?
[8960.40s -> 8961.28s]  What's the base?
[8962.56s -> 8968.56s]  The base is based on an estimated tax of a $217,000 assessed home.
[8969.12s -> 8973.20s]  That's been the same for a milling, I mean, come on.
[8973.20s -> 8974.72s]  It's got to be different.
[8974.72s -> 8975.92s]  I mean, how much is that?
[8977.84s -> 8979.36s]  Is that the median home?
[8981.44s -> 8984.64s]  It comes out to a fair market value of about $310, I think, right?
[8984.64s -> 8985.12s]  $3.50.
[8985.12s -> 8985.92s]  That area.
[8985.92s -> 8986.16s]  Yeah.
[8987.12s -> 8989.20s]  What are the taxes on that?
[8989.20s -> 8992.24s]  You're saying that $65 a year?
[8993.52s -> 8994.48s]  Is that what you're saying?
[8994.48s -> 8999.44s]  It's an increase, an increase to what?
[8999.44s -> 9002.64s]  I'm sorry to sound fit, but it's an increase to what?
[9004.16s -> 9008.32s]  $7249, $7250.
[9010.08s -> 9010.64s]  Yeah.
[9010.64s -> 9011.28s]  Okay.
[9011.28s -> 9012.24s]  So that, yeah.
[9012.24s -> 9013.04s]  Okay.
[9013.04s -> 9016.48s]  So that puts it over eight.
[9017.76s -> 9018.16s]  Let me see.
[9018.16s -> 9020.40s]  That puts it up to 73,
[9022.88s -> 9023.92s]  73, then.
[9023.92s -> 9024.40s]  All right.
[9024.40s -> 9025.36s]  Well, okay.
[9027.20s -> 9027.92s]  It works for you.
[9029.12s -> 9032.72s]  Can I ask a question of Brad or Bob?
[9034.16s -> 9036.88s]  If we had an 850 decrease,
[9037.84s -> 9042.00s]  what would the increase in the mill rate be?
[9043.52s -> 9045.76s]  Brad, I'm trying to, there you go.
[9045.76s -> 9047.76s]  I'm trying to, okay.
[9047.76s -> 9048.72s]  All right.
[9048.72s -> 9051.28s]  850,000 are decreased.
[9051.28s -> 9052.80s]  Give me one second to run that.
[9052.80s -> 9058.16s]  So the mill rate increase would be 0.38 for 1.13 percent increase
[9058.16s -> 9063.12s]  and the $217,000 assessed home would be $81.99.
[9063.92s -> 9065.36s]  Increase year over year.
[9069.04s -> 9071.12s]  Well, we could potentially gain two teachers.
[9077.12s -> 9078.72s]  Any more, any more questions?
[9078.72s -> 9081.04s]  I, I, that's, that's all for me.
[9082.24s -> 9085.12s]  Brian, you're, you're next in my, my line up there.
[9085.68s -> 9086.40s]  Okay.
[9086.40s -> 9091.36s]  I, uh, I looked at the same cuts that you had to start
[9091.52s -> 9092.72s]  to get us to a million.
[9093.36s -> 9097.60s]  Then I had some other cuts and then I had something else I wanted to talk to that,
[9098.56s -> 9104.24s]  you know, may help the situation and be able to put some stuff back into less than the pain
[9105.44s -> 9107.60s]  without increasing the mill rate.
[9108.64s -> 9116.08s]  So again, you know, the 460, I had a possible cut of 50,000 assuming the board of ed,
[9116.08s -> 9121.04s]  you know, still had the $300,000 in the contingent fund,
[9121.04s -> 9124.72s]  which again, they'll still be able to transfer money into at the end of this year.
[9125.44s -> 9130.32s]  I had a $10,000 cut for the building department off of part time,
[9130.96s -> 9136.88s]  which would bring them back to basically last year's budget of part time help.
[9139.04s -> 9145.04s]  The tree warden, I cut another 10,000 out of that, which basically brought them a little over
[9145.04s -> 9149.44s]  last year's budget in terms of the amount of work they could do.
[9150.64s -> 9158.96s]  I took 5,000 out of salt, which still left a pretty healthy amount in that account from highway.
[9160.80s -> 9167.68s]  Marchion wreck, I took another 5,000 out of building supplies, you know, just supplies because,
[9167.68s -> 9172.96s]  I mean, there's not going to be, I think the amount of sports going on this summer,
[9172.96s -> 9177.44s]  unfortunately, you know, redding is already announced that they've cancelled all summer activities,
[9177.44s -> 9183.28s]  and I think a lot of towns are going to be forced to follow suit with that because we definitely
[9183.28s -> 9190.96s]  don't want to see a reoccurrence of what's going on. I also reduced their programs back to last year's
[9190.96s -> 9195.36s]  funding, and again, that's based on the fact that I think a lot of programs are going to be cancelled
[9196.00s -> 9200.32s]  over the summer. You know, I know they do a great job with that and everything they do,
[9200.96s -> 9206.48s]  you know, brings in revenue, but again, I think in honesty, in the short term, people are going to
[9206.48s -> 9214.08s]  be very cautious about sending kids and group activities based on what we've just been through.
[9215.28s -> 9220.80s]  For the library, you know, I know we put it in, but I took the 5,000 out and I figured if we took
[9220.80s -> 9225.12s]  it out, I know we don't have control over the lines, but what I was thinking is it still
[9226.00s -> 9229.92s]  gives them the same amount of money they had last year to buy books and materials.
[9229.92s -> 9237.36s]  That was one thing that I looked at. I also looked at the senior center. They had a $10,000
[9237.36s -> 9244.16s]  increase in activities. I reduced that by 5,000. Again, my thinking was, you know, a lot of these
[9244.16s -> 9249.60s]  group activities, especially for seniors, one of our most vulnerable populations, will still
[9249.68s -> 9256.16s]  probably be lagging a little bit, you know, past the summer. So that brought an additional
[9257.04s -> 9273.20s]  $105,000 in cuts, which would bring the grand total to 1.1 million 5,000. Now, one way that I
[9273.20s -> 9281.76s]  thought that some of this eventually could get put back in would be every dollar saved this budget,
[9282.88s -> 9289.12s]  right, can get us to our number next year and possibly even pass that, you know,
[9289.12s -> 9294.32s]  depending on what the savings are. You know, I know generally on an average year we transfer about
[9294.32s -> 9302.00s]  $800,000 into the general fund or 600 somewhere around there, you know, depending on what our
[9302.00s -> 9310.88s]  uses are. If we took that money and put that into basically a special account or line for next year
[9311.60s -> 9318.64s]  and identified supplies and whatnot that we could take out of the budget this year, we could
[9318.64s -> 9327.84s]  supplement it with that and make a lot of the cuts less painful. And in addition, get the mill rate
[9327.84s -> 9336.48s]  to a zero increase. You know, so I think there is a path forward where we could get to a zero increase
[9336.48s -> 9342.96s]  in the mill rate and the cuts wouldn't look as bad because some of that could be put back in based
[9342.96s -> 9348.96s]  on savings and using that money that we're going to have at the end of this budget cycle for next year.
[9348.96s -> 9351.44s]  So that's kind of what my thought process was.
[9352.16s -> 9358.32s]  And I sneak in a quick question to Bob Kassowski because it pertains or do you want me to wait?
[9358.32s -> 9359.12s]  I'll be happy to wait.
[9361.52s -> 9377.04s]  Okay, so I'm sorry, my brain just stopped. So I wrote, I apologize. All right, go on because I wrote
[9377.04s -> 9383.68s]  something down now. We can't find it. So I can ask a quick question of Brian. Yeah, fine. So you
[9383.68s -> 9390.08s]  had 1.1 million of cuts by adding the additional things you just talked about to the existing proposal
[9390.08s -> 9397.44s]  that Bob talked about, right? Yeah, it was 1.105. But 1.6 is where we would get to a zero percent
[9397.44s -> 9403.60s]  mill rate increased. Right. And that's why I told you we could use the money that's left over from this
[9403.60s -> 9412.64s]  year to create a special fund for next year where we could take some budget items out and these
[9412.64s -> 9417.92s]  savings can be used to pay for those items. The items would still be paid for and they would still
[9417.92s -> 9424.24s]  have them. It would just come from the money that we have left over this year. We transfer into an
[9424.24s -> 9429.44s]  account, almost like we had talked about sinking funds and stuff like that in the past. And we could
[9429.44s -> 9436.48s]  use it to fund some of the items in next year's budget, thus keeping a zero percent mill increase
[9436.48s -> 9442.24s]  but still providing the supplies and the items that they've requested. So maybe I just don't
[9442.24s -> 9448.64s]  understand because there would be $500,000 additional that we would have to earmark to be handled
[9448.64s -> 9454.56s]  by that special fund. Right. So what would be your leverage? On an average year, we carry over
[9454.56s -> 9460.96s]  seven to 800,000 that we put into the general fund or use to pay off more short-term debt.
[9460.96s -> 9465.84s]  So it's not a stretch of the imagination that we can get there by any means. We're there almost
[9465.84s -> 9473.52s]  every single year. And so there's even more than 7 to 800,000. Brian, the problem is going into
[9473.52s -> 9481.12s]  next year's budget, the 22 budget, you're going to be behind $500,000. I get it. I understand.
[9481.12s -> 9487.28s]  I mean, we've done something similar to that with capital programs and the rating agencies don't
[9487.28s -> 9492.48s]  mind that but when you're doing it to balance your budget or use it to mitigate the mill rate,
[9493.28s -> 9497.76s]  they're not crazy about that. Mr. Chairman, I remember my question.
[9499.36s -> 9502.96s]  I would like to ask Mr. Kuzlowski a question to Brian's point,
[9503.68s -> 9508.88s]  that sounds like a fancy way of buying down the mill rate with non-lapsing funds. And I don't
[9508.88s -> 9514.64s]  think you can do that. I mean, I would like to have the chair and Mr. Kuzlowski research that,
[9514.64s -> 9519.28s]  because that sounds like a dangerous thing to do. I have a way.
[9519.28s -> 9524.96s]  Can I speak for that one second to Matt's comment. Other towns use the general fund balance to pay
[9524.96s -> 9532.00s]  down their mill rate. It's something that happens in numerous towns, rich fields on it,
[9532.00s -> 9538.00s]  other towns have done it. So it's not some new idea that they use money to buy down the mill rate
[9538.00s -> 9543.76s]  for next year. You're correct. It's like a grant. It could put us in the rears for the next year's
[9543.76s -> 9549.68s]  budget. But again, it gets us through this year. Hopefully, we see the return in the third quarter
[9549.68s -> 9555.76s]  or fourth quarter where some of the leading economists in the world think that the economy
[9555.76s -> 9562.96s]  will take off in the third or fourth quarter and it just gives us time to accomplish what we want
[9562.96s -> 9571.76s]  to accomplish without, you know, overly stopping these departments from, you know,
[9572.48s -> 9578.24s]  obtaining and completing their mission. You know, my reluctance to raise the mill rate is because
[9578.24s -> 9583.60s]  there's not a democratic process here. I understand what the governor did. I understand this is the
[9583.60s -> 9589.68s]  cards that I've been dealt, but I can only go by last year's data. And last year's data,
[9589.68s -> 9595.60s]  the budget, the budget was approved at a certain point. For me to raise taxes, and I'm already
[9595.60s -> 9601.36s]  agreeing to raise spending, right? In principle, I'm just against it because of that, that there's
[9601.36s -> 9609.52s]  no democratic process here. It's basically, you know, circumventing that process. I prefer that
[9609.52s -> 9614.00s]  we wait until June and see if these restrictions are over. Then it's much easier to present a budget
[9614.00s -> 9619.28s]  that everyone could vote on. So that's just why I'm where I'm at. Okay, just for the record,
[9619.28s -> 9625.52s]  I don't dislike your idea. And I have had conversations with Bob Kuzlowski and Bob Manpreet over
[9625.52s -> 9631.68s]  the past couple of weeks. So I will leave the answer to them. Whether that's a good idea with
[9631.68s -> 9639.52s]  our bond rating is not my concern. It's really, it's your boards. So, Brian, just to follow up on that,
[9639.52s -> 9645.12s]  I mean, I know Richfield does that a lot. They've been a AAA town for years and years and years,
[9645.12s -> 9650.40s]  how long we've been AAA. And the rating agencies view us differently than they do Richfield.
[9652.00s -> 9661.52s]  Little Bethel, who just became a AAA 5, 10, 7 years ago, starts to do this in an economy where maybe
[9662.48s -> 9667.52s]  we're on distress and we're not. The sound of Bethel has a nice fund balance right now. And we can
[9667.52s -> 9672.88s]  accommodate the capital programs, but they don't like to see something like that happening all of a
[9672.88s -> 9679.36s]  sudden. But Bob, let's say, let's say we took a short-term band out. And I know we're not,
[9681.68s -> 9687.60s]  you know, we're not, we've done a good job paying down the short-term debt. I said that at the last
[9687.60s -> 9692.88s]  budget, you know, deliberations, but bands are going to be at an all-time low right now. So,
[9693.44s -> 9701.36s]  I mean, if we borrowed just short and with the understanding that we're going to pay it off when
[9701.36s -> 9706.80s]  that money comes in in the end of nine months, would that really hurt our bond rating?
[9707.60s -> 9711.68s]  That's, that's, and again, you know, you're much more versed on this than I'm going to defer to your,
[9712.96s -> 9718.24s]  you know, expertise. But I mean, it seems like it's almost free money. And if we set the, even if we
[9718.24s -> 9722.24s]  put the money in the general fund and then pay it off, are they really going to be upset that we
[9722.24s -> 9728.40s]  paid that small amount off on short-term debt? I don't think they would. But the other part of it is,
[9728.40s -> 9734.16s]  in a year or less than a year, we're going to be bonding from $40 million for the two schools.
[9734.16s -> 9738.00s]  I don't want to do anything that's going to jeopardize that. I don't want to drop from a
[9738.00s -> 9741.92s]  triple A to a double A and all of a sudden, the increased course is going to be tremendous.
[9742.56s -> 9747.36s]  All right. I get it. And just to, just to put this in context for folks,
[9747.36s -> 9752.00s]  like this is great. We still got a hundred, over a hundred people on this call. God,
[9752.00s -> 9757.04s]  God bless you. You all on the board of finance, you have at least as much stamina as we do.
[9758.64s -> 9767.60s]  But what, why this is important is that the Bob Kuzlowski's point in July, we, or they're about,
[9767.60s -> 9774.56s]  we're going to be going out to the public to raise $40 million of bonds. And that's to
[9774.56s -> 9781.28s]  permanently refinance out the temporary financing we put in place for the school renovations.
[9782.40s -> 9788.16s]  At that time, the rating agencies will be asked to look at our creditworthiness.
[9789.44s -> 9794.48s]  Bob Kuzlowski's point, we're currently a triple A, the highest possible rating.
[9795.36s -> 9803.28s]  The rating agencies represent the bondholders, not the town of Bethel, right? So they will look at
[9803.28s -> 9810.88s]  our debt from the perspective of that safe debt as an investment. In making that assessment,
[9810.88s -> 9816.48s]  the rating agencies look to the practices of the municipality. And to the extent that the
[9816.48s -> 9824.64s]  rating agencies see municipalities kind of using fund balance, operating costs, they can
[9824.64s -> 9834.32s]  see that in negative. And they'll ding the town in its rating. We asked our bond council advisor,
[9834.32s -> 9841.28s]  excuse me, we asked our bond advisor to price out what the difference would be in a million
[9841.28s -> 9848.24s]  dollar bond issuance if we were downgrade from triple A to single A. Now granted, it's many,
[9848.24s -> 9855.04s]  many notches down, but the rating agencies tend to be quick on the way down, much quicker so than
[9855.04s -> 9860.88s]  they are on the way up. The difference in pricing on that $40 million bond issuance was estimated
[9860.88s -> 9868.88s]  to be $4 million. So we're trying to maintain our triple A to avoid additional interest expenses.
[9868.88s -> 9873.52s]  So by way of background, that's why this discussion is so important. Well, Bob, can I ask you a
[9873.52s -> 9884.40s]  question? Okay, could I have a question, Bob? Which one? You, Bob, Manfredo. So you were very
[9884.40s -> 9891.84s]  interested, you were very interested in knowing the savings this year too. You know, what was your plan
[9892.48s -> 9899.36s]  to use that towards next year's budget? Was there a plan that you had that wouldn't hurt our
[9900.88s -> 9906.00s]  bond rating kind of to what I'm saying right now? No, great question. And I kind of thought this
[9906.00s -> 9915.28s]  is where you were going actually, Brian, is the end of the year to what we have. And at least to my
[9915.28s -> 9920.32s]  notes, and maybe my notes are incomplete, but the savings weren't that much, but we would have
[9920.32s -> 9925.36s]  some savings at the end of the year. We would know what those numbers are because the books would
[9925.36s -> 9932.00s]  be closed. And we would then rather than putting that amount into our general fund, we would put it
[9932.00s -> 9938.16s]  in a special account to be used in the following year. That is something the rating agencies,
[9938.16s -> 9945.20s]  I believe, will accept because again, to Bob K's point, the money is in the coffer and now we
[9945.20s -> 9951.28s]  allocate it. So if we were to have savings, for example, at the end of the year, above and beyond
[9951.28s -> 9958.64s]  the additional proceeds, we typically get from the access of the actual collection rate over our
[9958.64s -> 9964.64s]  budgeted collection rate. And right, so true savings. And we were to capture those true savings and
[9964.64s -> 9974.00s]  put them into reserve account. That would be the favorite. So Bob, maybe what we do is just ask
[9974.56s -> 9982.88s]  you know, at some point, you know, to recess this meeting and ask that, you know, we get some
[9982.88s -> 9988.16s]  better numbers if we decide to have a special meeting next week or whatever we want to do that. So
[9988.16s -> 9994.88s]  we have an idea on, hey, what are the real savings that we can, you know, expect to have, you know,
[9994.88s -> 9999.92s]  talk to some department head see if there's anything they could do now to really help us with next
[9999.92s -> 10008.40s]  year's budget and not, you know, impact their ability to provide the services by, you know, like I
[10008.40s -> 10013.28s]  said, because let's face it, a lot of things are down right now, you know, we're not, you know,
[10013.28s -> 10017.68s]  doing a lot of the same things we were. So if we could capture those savings now, it'll help us,
[10018.72s -> 10024.24s]  you know, so much into next year's budget. So that would be my suggestion just to kind of,
[10025.04s -> 10028.88s]  you know, I think we let everyone speak about some, unless I'm missing some.
[10028.88s -> 10033.84s]  Except me. No, I'm sorry Wendy, I forgot you went first. I would never cut you out, but after
[10033.84s -> 10038.88s]  Wendy speaks, I mean, we'll have a really good idea of where everyone's heads are in thoughts and
[10038.88s -> 10045.36s]  maybe just take a recess and let's ask our department heads or the first selectman and the schools
[10045.36s -> 10048.88s]  to tell us, you know, what type of savings do you think we could have at the end of the year?
[10048.88s -> 10053.68s]  I did want to ask Bob my question that I've been trying to ask and I did remember if you don't
[10053.68s -> 10058.24s]  mind, it has to do with the bond rating and what exactly what Brian was talking about.
[10058.96s -> 10063.68s]  May I please? And then Wendy, I want you to talk the rest of it. Can I just ask Bob what he
[10063.68s -> 10069.52s]  thinks about that? Whether that would be a good way to proceed after Wendy and Cynthia asked her question.
[10070.48s -> 10074.24s]  And again, to this Bob, you Bob, Bob Manfreda.
[10077.28s -> 10082.48s]  We'll come back to that, but yes, so Brian and you and anything else.
[10084.00s -> 10091.84s]  Well, yeah, it was about the fun balance. And you know, this has been a bone of
[10091.84s -> 10097.04s]  contention over the years and it's been suggested before. And I understand that the rating agencies
[10097.04s -> 10102.24s]  don't want to see you, you know, the town plug it up a sinking ship. But to Brian's point,
[10103.92s -> 10108.00s]  there's got to be a way to structure it. I know that the first year I was on the board of
[10108.00s -> 10115.12s]  finance, Matt Nickerbacher was proposing pretty much what Brian was suggesting and trying to find
[10115.12s -> 10123.20s]  a mechanism that we could somehow configure the part of the fun balance to I don't even want to
[10123.20s -> 10129.60s]  use the word offset because I know how the rating agencies are. But I can't imagine that in a pandemic
[10129.60s -> 10136.48s]  that rating agencies aren't going to have to, you know, be a little bit flexible. I mean, you know,
[10136.48s -> 10142.56s]  not to the point where I just can't see the rating agencies slapping some of the town down two
[10142.56s -> 10149.84s]  points. And my old question to Bob K is, do you know how long Richfield's been a triple A town?
[10149.84s -> 10155.68s]  Just curious. As you said, they've been really long time. I know it's all longer than us.
[10155.68s -> 10159.28s]  We've been five to seven years. We originally got it with the standard of course.
[10159.84s -> 10166.32s]  But we pay good. We pay. We've got a good record, you know, we pay. And so, you know,
[10166.32s -> 10171.68s]  that's just every something interesting though. They unprecedented. It came in a year later.
[10172.56s -> 10176.56s]  And I mentioned to me because they wanted to do the analysis. And I said, hey, we were just
